# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 19 11:14:37 2022
#
# User preference: *
#
# CONSTRAINT:  where (cb_flag = 0
# CONSTRAINT:  and discoverymethod like '%Transit%'
# CONSTRAINT:  and disc_facility like '%Kepler%'
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
pl_name,cb_flag,discoverymethod,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_trandep,st_rad,st_mass
KIC 10525077 b,0,Transit,Kepler,0,854.08300000,,5.500,25.90000,,0.250000,1.01,1.01
KIC 3558849 b,0,Transit,Kepler,0,1322.30000000,,6.900,38.10000,,0.396900,1.01,0.98
KIC 5437945 b,0,Transit,Kepler,0,440.78130000,1.145500,6.400,33.60000,0.000000,0.220900,1.24,1.07
KIC 8540376 b,0,Transit,Kepler,0,31.80990000,,4.100,15.80000,,0.090000,1.26,1.04
KIC 8540376 c,0,Transit,Kepler,0,75.20000000,,2.400,6.35000,,0.032400,1.26,1.04
KIC 9663113 b,0,Transit,Kepler,0,572.38470000,1.406200,4.600,19.20000,0.000000,0.168100,1.03,0.98
KOI-12 b,0,Transit,Kepler,0,17.85518200,0.154000,13.787,349.61300,0.340000,0.906520,1.40,1.50
KOI-1257 b,0,Transit,Kepler,0,86.64766100,0.382000,10.540,460.83000,0.772000,0.731160,1.13,0.99
KOI-13 b,0,Transit,Kepler,0,1.76358800,0.036410,16.948,2949.46240,0.000640,0.459060,1.74,1.72
KOI-142 b,0,Transit,Kepler,0,10.91647000,0.098000,3.438,9.50000,0.055610,0.147900,0.90,0.99
KOI-142 c,0,Transit,Kepler,0,22.26492000,0.155250,14.000,214.10000,0.057240,,0.90,0.99
KOI-1599.01,0,Transit,Kepler,0,20.44150000,0.147280,1.900,4.60000,0.014000,0.036340,0.97,1.02
KOI-1599.02,0,Transit,Kepler,0,13.60880000,0.112293,1.900,9.00000,0.011400,0.037610,0.97,1.02
KOI-1783.01,0,Transit,Kepler,0,134.46280000,0.513500,8.860,71.00000,0.000000,0.504400,1.14,1.08
KOI-1783.02,0,Transit,Kepler,0,284.21500000,0.845300,5.440,15.00000,0.000000,0.165030,1.14,1.08
KOI-1831 d,0,Transit,Kepler,0,34.16900000,0.194900,1.130,2.23000,0.000000,0.020380,0.83,0.90
KOI-1833 d,0,Transit,Kepler,0,7.68500000,0.063400,2.580,11.02000,0.000000,0.114080,0.67,0.68
KOI-217 b,0,Transit,Kepler,0,3.90512000,0.047700,12.442,,0.000000,1.756000,0.86,0.95
KOI-3503 b,0,Transit,Kepler,0,21.18500000,0.146200,1.190,9.20000,0.000000,0.007170,1.25,0.86
KOI-3503 c,0,Transit,Kepler,0,31.82800000,0.191100,1.210,10.36000,0.000000,0.007900,1.25,0.86
KOI-351 b,0,Transit,Kepler,0,7.00815100,0.074000,1.310,2.27000,0.000000,0.011640,1.20,1.20
KOI-351 c,0,Transit,Kepler,0,8.71937500,0.089000,1.190,1.81000,0.000000,0.016040,1.20,1.20
KOI-351 d,0,Transit,Kepler,0,59.73667000,0.320000,2.870,8.60000,0.000000,0.056640,1.20,1.20
KOI-351 e,0,Transit,Kepler,0,91.93913000,0.420000,2.660,7.56000,0.000000,0.048290,1.20,1.20
KOI-351 f,0,Transit,Kepler,0,124.91440000,0.480000,2.880,8.65000,0.000000,0.049870,1.20,1.20
KOI-351 g,0,Transit,Kepler,0,210.60697000,0.710000,8.100,254.26400,0.000000,0.415930,1.20,1.20
KOI-351 h,0,Transit,Kepler,0,331.60059000,1.010000,11.300,381.39600,0.000000,0.832210,1.20,1.20
KOI-3680 b,0,Transit,Kepler,0,141.24167100,0.534000,11.097,613.41190,0.496000,1.299050,0.96,1.01
KOI-4777.01,0,Transit,Kepler,0,0.41200000,0.008000,0.510,99.20000,0.000000,0.018310,0.40,0.41
KOI-94 b,0,Transit,Kepler,0,3.74320800,0.051190,1.710,10.50000,0.250000,0.012630,1.52,1.28
