#50th percentile and +/- 1-sigma values for stellar parameters: metallicity z, log10age(yr) tau, masses M1 and M2 in solar mass, radii R1 and R2 in solar radius, flux ratio f2/f1 frat in kepler bandpass
#KIC z z+sigma z-sigma tau(log10yr) tau+sigma tau-sigma m1(msun) m1+sigma m1-sigma m2(msun) m2+sigma m2-sigma r1(rsun) r1+sigma r1-sigma r2(rsun) r2+sigma r2-sigma frat frat+sigma frat-sigma            
6762829 0.012199075 0.0001186432 -0.0001497695 9.8183012219 0.0012162206 -0.0016680417 1.0912589719 0.0002625286 -0.0004340754 0.2882716012 0.0006714379 -0.0006635592 1.8607612518 0.0026896897 -0.0026702665 0.2951821931 0.0005257519 -0.0005232825 0.0009098854 +5.63431360535e-06 -5.60825333974e-06            
26012833 0.012199075 0.0001186432 -0.0001497695 9.8183012219 0.0012162206 -0.0016680417 1.132 0.045 -0.045 0.314 0.008 -0.008 1.338 0.017 -0.017 0.312 0.004 -0.004 0.0009098854 +5.63431360535e-06 -5.60825333974e-06            
10000490 0.0318645062 0.0034274714 -0.001586871 8.3396417154 0.0405441943 -0.0511728153 3.1341092469 0.1082141678 -0.0903335514 1.6162121871 0.0341717169 -0.0276440298 3.1568535995 0.0289780941 -0.0242568906 1.5970603681 0.0225083858 -0.0204382362 0.0798331524 0.0017095765 -0.0011784786            
10031409 0.0112012712 0.0024743637 -0.0017837858 9.3710201471 0.1616739799 -0.2025831411 1.1309999396 0.0436887281 -0.0500652374 1.078944797 0.0447110145 -0.0503009486 1.1826837869 0.0093791898 -0.0094615292 1.0845183824 0.0224190672 -0.0275362011 0.7689279434 0.0244514379 -0.0288515825            
10031808 0.0491958974 0.0052065858 -0.0071203665 6.8679677096 0.006422708 -0.0128138896 1.96187034 0.0125960268 -0.0143988702 1.9339249582 0.0145399645 -0.0147636867 2.8952559906 0.0427366832 -0.0158909463 2.8713443778 0.032583633 -0.0389019494 0.847837692 0.0327565475 -0.0537503578            
10074700 0.0502171513 0.0009815699 -0.0015484549 9.2136602247 0.004916518 -0.0030976393 1.8506266151 0.001549141 -0.0005713161 0.7798517937 0.0038762434 -0.004371331 4.3469374215 0.0262857531 -0.029657182 0.6968542618 0.0035409432 -0.0039749639 0.0108349887 +3.66514572587e-05 -3.66657255866e-05            
10155080 0.0127235666 0.0046558684 -0.00415202 8.9573568217 0.0970927727 -0.1021882641 1.6118404337 0.0525268404 -0.0631609962 1.212484974 0.0705862311 -0.0679129508 1.6859803655 0.0200095163 -0.0204893703 1.1974543048 0.0882359534 -0.0780203611 0.2594780012 0.0620124306 -0.054798736            
10156064 0.0431501702 0.00528949 -0.0041051894 8.3139800438 0.0773261447 -0.0636343292 2.0885668625 0.03148879 -0.0337778257 1.5146590111 0.0330656198 -0.0364532207 1.9672858781 0.0038168653 -0.0041923446 1.5149607897 0.0330458444 -0.0378995737 0.2675621381 0.0149619839 -0.0169123371            
10215422 0.0465000849 0.0024677341 -0.0022800606 9.6072554758 0.0116274284 -0.0119544762 1.1168452587 0.0040047424 -0.0042963731 0.7181610993 0.0017585064 -0.001879901 1.1840236037 0.0022552157 -0.0022580701 0.6727325702 0.0006458487 -0.0006713102 0.0638622816 0.000111676 -0.0001143424            
10215869 0.0015993881 +7.279573293e-05 -9.547129998e-05 7.124353647 0.0128729494 -0.0146116618 0.900372363 0.0069203217 -0.0061394541 0.1370458192 0.0065908698 -0.005868899 1.0200287576 0.0067401123 -0.0067911646 0.4085287239 0.0028165535 -0.002988631 0.0075651691 +6.66808346628e-05 -6.59966304244e-05            
10258558 0.0075285876 0.0011813906 -0.0013833366 9.7526245465 0.1197917833 -0.0816927458 0.9722992665 0.0315171379 -0.0403257363 0.8924391967 0.0265332543 -0.061906921 1.1145571542 0.0198751195 -0.022609308 0.8938791126 0.04912426 -0.0571745704 0.5166086032 0.1407083762 -0.1006764074            
10259029 0.0107543396 0.0083302184 -0.0042406466 7.6245957041 0.083425583 -0.1017710919 0.642703346 0.0409763071 -0.0468074367 0.1568693913 0.0621080763 -0.0421240937 0.7199447739 0.0182221739 -0.0223284609 0.3582747441 0.0616847787 -0.0433341231 0.0260526169 0.0064632477 -0.0038870685            
1026032 0.0110195901 0.0034205519 -0.0053815844 9.4457409842 0.051286188 -0.0728829152 1.2652054693 0.0380091825 -0.0317128779 0.8283332231 0.0206853054 -0.0163759377 1.613422507 0.0079426242 -0.0084023166 0.7579100874 0.0163679414 -0.0138182484 0.0942761214 0.0064038928 -0.0046272774            
10264202 0.0367483663 0.0062641978 -0.0067700119 9.0828641271 0.1419078322 -0.1608662067 1.1947369118 0.0174871356 -0.0187527603 0.9304460311 0.011529321 -0.0112736357 1.1575703588 0.0049154134 -0.0047239084 0.8299161151 0.0052738586 -0.005676983 0.2612866694 0.0012283587 -0.0019424057            
10268903 0.0059483464 0.0028872505 -0.0031726553 9.6414755601 0.2986959073 -0.4390900454 0.5536352215 0.0143600143 -0.0134212431 0.4591197393 0.0251747747 -0.0149045719 0.5376714396 0.0024901852 -0.0024632403 0.4418382504 0.0174465721 -0.009468554 0.3843924341 0.0342033823 -0.0181137637            
10274244 0.0057137955 0.0003478214 -0.0003199639 9.9537335119 0.0462394325 -0.0494578421 0.7844741439 0.0117316603 -0.0109281858 0.3215577417 0.0048292733 -0.0040890608 0.7997183005 0.0041310555 -0.0038271538 0.3182779669 0.0030491277 -0.0027085754 0.011106177 +4.506787645e-05 -4.447551545e-05            
10275074 0.0077235731 0.000844559 -0.0005730412 7.1626982161 0.0252618008 -0.0273301423 1.1319891458 0.0356362911 -0.0261542483 1.1983138511 0.0183063422 -0.0322900254 1.3107509215 0.0627786938 -0.0534126101 1.4163162493 0.0235900555 -0.0493808412 1.516516012 0.4753922462 -0.5512285994            
10292238 0.0119267205 0.0011312804 -0.0009841823 9.7947572831 0.0339066857 -0.0522292016 1.0716569702 0.0327302153 -0.0193651318 0.9255309803 0.0222063139 -0.0133351217 1.4830811713 0.0139317483 -0.0083237295 0.9514560506 0.0144378568 -0.0092282443 0.332583421 0.0010109807 -0.0008497386            
10294608 0.0167593443 0.003769859 -0.0024312742 8.231250844 0.3342475714 -0.3677501289 1.4343775719 0.009818052 -0.0251375102 1.2794642323 0.008898704 -0.019860582 1.3902319201 0.0044118458 -0.0067207248 1.2188515482 0.00403509 -0.0101339729 0.5939324731 0.0009602291 -0.0009735346            
10296163 0.0072762294 0.0001867996 -0.0001962453 9.3564926954 0.0497325648 -0.2332937376 1.1445442097 0.0752591897 -0.0163228648 0.5902054971 0.0179107797 -0.0045270831 1.2476142021 0.0215806307 -0.0055811258 0.5690055099 0.0097767498 -0.0031311342 0.0237500405 +5.477692955e-05 -5.4626739582e-05            
10330495 0.0100567056 +9.8581443716e-05 -4.712281682e-05 9.9197660526 0.0002880531 -0.0006011416 1.0278727867 0.0003421334 -0.0002610545 0.5185760836 0.0009820913 -0.0007175606 2.2604656459 0.0041500771 -0.0049178291 0.5157660082 0.0011250056 -0.0008183883 0.0084805677 +3.23340615124e-05 -3.242516438e-05            
10352603 0.014534077 0.0001214531 -8.69686718e-05 9.5276475668 0.008530546 -0.0049751255 1.2968284345 0.0034349714 -0.0024070293 1.3099873509 0.0034480643 -0.0018888325 1.8290915447 0.0032751994 -0.0037534418 1.9147466822 0.0036032234 -0.003219919 1.060101578 0.0029256632 -0.0026861637            
10383696 0.0060476993 0.0016503282 -0.0022517026 7.22125755 0.0613297002 -0.077890456 0.9004526122 0.0337526753 -0.0504294097 0.5776276815 0.0726836418 -0.1312629054 0.9787032284 0.0346947363 -0.0345224979 0.808689491 0.0538810407 -0.0768085678 0.0986770869 0.0209597168 -0.0151202893            
10385682 0.0200135771 +2.46548824689e-05 -1.09509625772e-05 10.0199490744 +6.39996149268e-05 -0.0001339093 1.0013758616 +5.145663725e-05 -9.17531008031e-05 0.9874811154 0.0002279619 -0.0001918816 1.427972836 0.0008061257 -0.0010545601 1.3164558334 0.0012796039 -0.0011376447 0.866395371 0.0025475572 -0.0020833306            
10420279 0.0225829524 0.0030749018 -0.0027923518 9.7813557629 0.0805809947 -0.1238519683 1.0195566624 0.0398390243 -0.0314687119 0.9832043249 0.0360635277 -0.0286705154 1.0809656488 0.0123666238 -0.0097568754 1.0022376683 0.013485309 -0.0110248336 0.7846166151 0.0041351239 -0.0030162965            
10454401 0.0084254336 0.0011059183 -0.0011848834 7.4260894287 0.0188858332 -0.0357262317 0.8925129615 0.0106459007 -0.0060535252 0.8852568852 0.0104556188 -0.0061651785 0.9182387305 0.0036171278 -0.0023888816 0.9118220534 0.0035562633 -0.0024714773 0.943668382 0.0053423107 -0.0042456695            
10483644 0.0090733839 0.0016827637 -0.001761646 9.2800961703 0.2012176573 -0.464991486 1.0489813441 0.0513829627 -0.0361636158 0.5085236509 0.0197657054 -0.017639924 1.0283903273 0.0140543524 -0.007102544 0.4941116331 0.0184003506 -0.0208521184 0.0171023093 0.0012451706 -0.0017950534            
10491554 0.0045162752 0.0047379703 -0.0024949934 7.3079685004 0.5185307322 -0.5921229196 4.5370950631 1.2462328997 -1.1578731398 4.3529479805 1.2017364306 -1.1116033701 2.2622703202 0.1861698077 -0.2090558242 2.1832964586 0.190676941 -0.2132298083 0.9098417329 0.0271860721 -0.0421915964            
10581918 0.0171039835 0.001742524 -0.0014799428 6.7363777664 0.0113970413 -0.0074389878 2.2034676002 0.0075157617 -0.0291215469 1.7259600764 0.0111318806 -0.013407471 2.1870471444 0.0047789483 -0.0081031182 2.0759024497 0.0042201165 -0.0077075308 0.1570167981 0.0004466679 -0.0004459439            
10601579 0.0011441151 0.0001507806 -0.0001031046 6.7378121125 0.0148527286 -0.0200122923 1.2153241469 0.0111124724 -0.0088180419 1.178157442 0.0121610225 -0.0084705749 1.7289852793 0.0097970575 -0.0088430578 1.6351414204 0.0111517837 -0.011953224 0.8080940347 0.0244914026 -0.0236684607            
10651945 0.0071479646 0.0014934797 -0.0010132977 9.9154419894 0.0871729524 -0.2876529929 0.9067182439 0.1102958577 -0.0404536606 0.638638644 0.0406040047 -0.018167959 1.0756878783 0.0317022502 -0.0159983728 0.623309125 0.0207056936 -0.0123571229 0.0914275606 0.0026633758 -0.0024754001            
10686876 0.0209721052 0.0098561333 -0.0092805183 8.3763255692 0.0281480991 -0.0455931118 2.3981530774 0.1183724634 -0.0873439137 1.0674034035 0.0038443258 -0.0047974565 2.0838284859 0.0223116331 -0.0187324494 0.9575533397 0.0104190933 -0.0090266348 0.0356196918 +5.27405516931e-05 -5.225679033e-05            
10735564 0.0202345579 0.0068216763 -0.0010581497 8.2622875412 0.0239301608 -0.0294381677 2.8964335006 0.1082316338 -0.0695006795 1.4608183322 0.0461534705 -0.0382153445 2.4790499404 0.0313531474 -0.0264572651 1.4250426264 0.0352317092 -0.0391036014 0.0859798111 0.008262003 -0.0072209861            
10736223 0.0054191307 0.000584739 -0.0004380989 6.7850786676 0.0308420917 -0.0177849071 1.739139779 0.0060196515 -0.0135469436 1.2556668531 0.0041066559 -0.0057983419 1.6824175008 0.0011147121 -0.0018316776 1.5233934249 0.0009522722 -0.0016912091 0.1455192161 0.0001443527 -0.0001447337            
